giftid,GiftDate,DonationAmount,gifttype,id
9272,9/13/2021,63,Credit,df5e2727b10b0168417d2e4c56d35bd6
9274,2/11/2021,12.4,Credit,1ccb0003e5aef730393e7fbffc259e5f
9274,2/11/2021,12.4,Credit,1ccb0003e5aef730393e7fbffc259e5f
9275,2/11/2021,63,Credit,fcfaa4561309232d57c8b37116cf8305
9275,2/11/2021,63,Credit,fcfaa4561309232d57c8b37116cf8305
9279,9/13/2021,15.51,Credit,7fe2551281eb6d0419a374650b7d52ac
9281,2/11/2021,124.08,Credit,381ad81739e6abc07188d1342ccb3d24
9282,2/11/2021,15.51,Credit,7fe2551281eb6d0419a374650b7d52ac
161,11/1/2021,515.21,Credit,53631ffd65f2a80cf522e8c1330069d2
162,11/1/2021,51.8,Credit,319dd095926b7a89055f72580bc284ec
162,11/1/2021,51.8,Credit,319dd095926b7a89055f72580bc284ec
163,12/18/2020,103.4,EFT,8ad2333fd9deaeab5a0aa8911feeff84
